FIPS,State,County,Unreliable,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Average Daily PM2.5,% Drive Alone to Work,% Long Commute - Drives Alone,Unnamed: 0,NatWalkInd,D4A,TotEmp,TotPop,D2A_JPHH,D5AR,CBSA_POP,CBSA_EMP,Pct_AO0,D4C,Pct_AO1,Pct_AO2p,D3APO,D3AAO,D4D
48029,Texas,Bexar County,,19.4,3.5106115416,4.5741814349,8.8493981011,39.7,6.9,25.3,88.798471526,27.224576271,9.1,74.821324682,36.1,19,11.472017220128228,469.8148201438849,777.9391143911439,1776.6282287822878,1.6173071428413284,140888.78505535054,2426204.0,979988.0,0.081930654355166,8.218514531754575,0.3542308795129151,0.5610709384464945,15.15225893801107,1.5940110585535057,34.0023334228536
48031,Texas,Blanco County,,14.7,3.3674778459,4.7121944255,6.3271604938,35.2,8.1,22.9,37.726393529,35.714285714,8.7,78.824415976,44.2,20,6.023809523857143,,457.0,1611.2857142857142,0.7543015065714285,3192.428571428572,0.0,0.0,0.0358650747142857,,0.2458197848571428,0.7183151404285715,1.7288679021428572,0.3789864117142857,
48035,Texas,Bosque County,,17.2,3.7892856957,5.1052772138,6.0392156863,35.7,6.7,25.7,30.337263504,8.3333333333,8.7,84.517138016,44.1,22,5.877777777466666,,234.33333333333331,1208.1333333333334,0.5298673004666666,3386.733333333333,0.0,0.0,0.0278064395333333,,0.2877257141333333,0.684467846,7.068556927333333,0.2340414024666666,
48037,Texas,Bowie County,,18.1,3.828263933,5.1136364262,10.533448318,38.2,6.6,26.5,53.200994693,23.456790123,9.4,87.333159541,16.5,23,6.722972972986486,,575.7432432432432,1268.3513513513512,1.2545050338108108,12189.18918918919,150034.0,59324.0,0.0883652960675675,,0.3550721141621621,0.5430490762162161,8.177812938918919,1.331231055445946,
48039,Texas,Brazoria County,,15.1,3.2525415095,4.3795493219,8.2835415535,38.9,7.8,26.0,77.992694157,32.558139535,10.5,82.937952958,51.8,24,6.298689138662921,,588.5337078651686,1988.758426966292,1.245039072488764,64404.38764044944,6779104.0,2975382.0,0.0351746611516853,,0.2677576998988764,0.6802137063932584,8.907096240764044,0.7507809572359551,
48041,Texas,Brazos County,,17.1,3.7218541866,4.7018173549,7.8270905466,36.7,6.5,24.6,86.664471518,22.916666667,9.5,78.227200824,11.6,25,7.432203389940677,,928.6271186440678,1857.5677966101696,1.8362312799576272,31268.093220338986,253946.0,117706.0,0.0528943641949152,,0.3570675924915254,0.5646143144830508,11.288913505016948,1.498161606220339,
48043,Texas,Brewster County,,17.0,3.494662516,4.5618839207,5.5467511886,35.8,6.0,25.1,71.44353656,16.666666667,5.6,75.144628099,12.1,26,7.500000000777778,,413.1111111111111,1024.0,1.0885690170000002,1099.4444444444443,0.0,0.0,0.0565198273333333,,0.3462241954444444,0.5972559771111111,7.810142189,0.0536825862222222,
48047,Texas,Brooks County,,31.0,4.843846778,4.7236840228,8.4432717678,45.3,5.0,40.6,89.00508762,15.384615385,9.9,88.514025777,18.9,29,6.952380952,,235.8571428571429,1025.7142857142858,1.138883611,1438.0,0.0,0.0,0.135853847,,0.3552163864285714,0.5089297665714285,9.391904754285717,2.553432006428572,
48049,Texas,Brown County,,17.4,3.7227484562,4.9252167091,8.3661065427,38.8,6.4,25.9,60.46725292,27.777777778,7.8,82.152325862,13.2,31,6.8333333331875,,474.28125,1182.3125,1.3941569315625,4649.28125,37834.0,15177.0,0.0684730579375,,0.33083756346875,0.6006893785,9.9671858550625,0.452960565,
48051,Texas,Burleson County,,17.0,3.6066635253,4.9158780122,9.2682926829,36.2,7.5,25.3,46.757737218,40.625,9.3,75.607064018,49.0,32,5.5833333335,,294.07142857142856,1275.928571428571,0.6791919613571429,5434.285714285715,253946.0,117706.0,0.0431770056428571,,0.2547244117142857,0.7020985826428572,3.2054645416428573,0.3960448117142857,
48053,Texas,Burnet County,,15.9,3.5745848487,4.9186722811,7.132374523,34.7,7.7,25.1,43.307551394,32.0,8.9,72.634568821,40.8,33,6.086419753222223,,461.1851851851852,1694.4444444444443,0.8213784623703704,3757.5925925925926,0.0,0.0,0.0461873004444444,,0.2795070129259259,0.6743056865925925,4.163665349666666,0.2763165582222222,
48055,Texas,Caldwell County,,21.3,4.0622463646,4.6051729871,8.7528459398,39.9,7.3,31.7,39.905847482,22.0,9.5,81.78273259,55.3,36,6.079999999839999,,324.0,1656.04,0.94676372572,20843.32,2058351.0,1004341.0,0.05340308992,,0.30974197096,0.636854939,5.21955808368,0.82095676224,
48057,Texas,Calhoun County,,18.5,3.5608227931,4.6032660756,7.0351758794,38.8,5.5,28.1,63.587983686,45.454545455,8.7,85.104814074,19.5,37,6.8703703701666665,,514.4444444444445,1211.5,1.3396624519444444,3622.5,21807.0,9260.0,0.0351461908333333,,0.3073392446111111,0.6019590092222222,9.97654597588889,0.4502689436111111,
48059,Texas,Callahan County,,15.6,3.6149488765,5.1448171307,11.451135242,37.1,7.1,23.8,54.595856434,13.043478261,7.4,78.823138298,33.2,38,5.65277777775,,178.58333333333334,1147.5,0.3962483056666666,5451.166666666667,170009.0,63094.0,0.0279285519166666,,0.3672985228333333,0.6047729251666667,3.5197928444166666,1.3410874823333332,
48061,Texas,Cameron County,,28.2,4.4964354787,4.9561957584,8.3524870983,42.7,5.4,33.1,66.98185584,17.391304348,9.7,81.26595264,21.2,39,6.990370370422222,,586.3111111111111,1874.4444444444443,1.2890619780266666,25589.95111111111,421750.0,131920.0,0.0822488915733333,,0.3959753929777778,0.5084423821111111,11.950087674302225,1.018989994951111,
48063,Texas,Camp County,,19.1,3.8948516025,5.0330984914,6.6396761134,38.5,6.9,27.7,59.17843389,29.411764706,9.0,78.916750251,25.8,40,5.666666666555556,,434.3333333333333,1423.6666666666667,1.1139062795555554,5286.777777777777,45543.0,20220.0,0.0809389431111111,,0.2916903392222222,0.6273707175555556,3.021617884888889,0.6728603041111111,
